code,date,Year,Mes,hosp_covid,uso_uci,ocup_hosp,deaths_covid
NE,2021-11-22,2021,11,530.0,458.0,684.0,6.0
DC,2021-11-17,2021,11,73.0,276.0,87.0,0.0
CT,2021-11-16,2021,11,283.0,787.0,337.0,4.0
NM,2021-11-16,2021,11,632.0,397.0,799.0,10.0
RI,2021-11-15,2021,11,100.0,198.0,122.0,1.0
HI,2021-11-12,2021,11,61.0,148.0,75.0,0.0
DC,2021-11-10,2021,11,64.0,265.0,81.0,1.0
ND,2021-11-09,2021,11,260.0,185.0,326.0,5.0
DE,2021-11-07,2021,11,164.0,265.0,186.0,0.0
ID,2021-11-06,2021,11,427.0,373.0,549.0,6.0
RI,2021-11-04,2021,11,82.0,210.0,98.0,1.0
DC,2021-11-02,2021,11,65.0,257.0,87.0,1.0
IL,2021-11-01,2021,11,1287.0,2784.0,1585.0,5.0
MT,2021-11-01,2021,11,393.0,191.0,502.0,7.0
OR,2021-10-31,2021,10,627.0,610.0,746.0,13.0
RI,2021-10-30,2021,10,67.0,225.0,76.0,0.0
ID,2021-10-28,2021,10,514.0,391.0,666.0,10.0
ID,2021-10-27,2021,10,527.0,399.0,673.0,4.0
RI,2021-10-27,2021,10,78.0,221.0,87.0,1.0
OR,2021-10-26,2021,10,677.0,689.0,820.0,4.0
ME,2021-10-25,2021,10,237.0,282.0,318.0,2.0
PR,2021-10-25,2021,10,80.0,594.0,96.0,2.0
ID,2021-10-22,2021,10,559.0,397.0,712.0,7.0
NM,2021-10-22,2021,10,398.0,409.0,517.0,7.0
ME,2021-10-20,2021,10,215.0,331.0,288.0,3.0
DC,2021-10-17,2021,10,93.0,269.0,109.0,2.0
NM,2021-10-17,2021,10,370.0,396.0,473.0,5.0
PR,2021-10-17,2021,10,110.0,624.0,140.0,0.0
RI,2021-10-16,2021,10,103.0,206.0,122.0,0.0
CT,2021-10-12,2021,10,281.0,795.0,348.0,4.0
NV,2021-10-12,2021,10,744.0,709.0,918.0,15.0
MN,2021-10-09,2021,10,1024.0,1162.0,1275.0,11.0
MA,2021-10-06,2021,10,474.0,1061.0,630.0,9.0
NV,2021-10-06,2021,10,847.0,711.0,1043.0,17.0
NM,2021-10-04,2021,10,395.0,386.0,517.0,6.0
HI,2021-10-01,2021,10,208.0,156.0,254.0,3.0
MA,2021-09-29,2021,9,493.0,1061.0,663.0,11.0
VI,2021-09-29,2021,9,7.0,8.0,10.0,0.0
NM,2021-09-28,2021,9,344.0,401.0,479.0,6.0
NH,2021-09-26,2021,9,143.0,194.0,173.0,0.0
MA,2021-09-22,2021,9,510.0,1047.0,678.0,7.0
NV,2021-09-21,2021,9,990.0,709.0,1212.0,12.0
RI,2021-09-20,2021,9,106.0,193.0,127.0,1.0
NM,2021-09-16,2021,9,398.0,389.0,530.0,7.0
NV,2021-09-13,2021,9,1112.0,749.0,1359.0,27.0
NM,2021-09-12,2021,9,433.0,396.0,587.0,8.0
NH,2021-09-08,2021,9,142.0,212.0,177.0,4.0
CT,2021-09-07,2021,9,420.0,760.0,526.0,2.0
RI,2021-09-07,2021,9,151.0,214.0,163.0,3.0
RI,2021-09-05,2021,9,155.0,215.0,178.0,1.0
MA,2021-09-01,2021,9,490.0,1074.0,651.0,12.0
NH,2021-09-01,2021,9,121.0,215.0,160.0,0.0
NH,2021-08-28,2021,8,101.0,200.0,133.0,0.0
MN,2021-08-26,2021,8,684.0,1184.0,862.0,3.0
ND,2021-08-24,2021,8,123.0,155.0,144.0,0.0
NM,2021-08-23,2021,8,464.0,372.0,609.0,5.0
RI,2021-08-23,2021,8,120.0,209.0,147.0,2.0
NV,2021-08-22,2021,8,1231.0,733.0,1464.0,18.0
RI,2021-08-22,2021,8,114.0,204.0,136.0,2.0
AK,2021-08-19,2021,8,125.0,152.0,157.0,5.0
NH,2021-08-19,2021,8,86.0,194.0,115.0,2.0
MA,2021-08-18,2021,8,395.0,993.0,490.0,2.0
